NOM,VILLE,ADRESSE,TEL,FAX,NOM PHARMACIEN RESPONSABLE
"AFRIC MED Distribution,",RABAT,"AVENUE ALLAL AL FASSI,MADINAT AL IRFANE,HAY RIAD 10000",05.37.27.25.00,05.37.77.94.90,MME MARIA FARAJ
BUMAGECO,TANGER,LOT 6 RUE D' IFNI Imm Adil,05.39.94.66.87 05.39.94.66.88,05.39.39.55.66,M. AMINE AYOUB
COOPER BENISNASSEN,BERKANE,12 RUE DE CAIRE HAY EL WAHDA,05.36.23.10.40,05.36.23.10.12,M. ISSAM RAHMOUNI
COOPER PHARMA REPARTITION,CASABLANCA,"LOT 5, LOTISSEMENT ALAMIA SIDI MOUMEN",05.22.45.32.01,05.22.45.33.60,MME BOUJANAH NABILA
COOPER CHAOUIA,KHOURIBGA,ZONE INDUSTRIELLE AMAL LOT 35,05.23.58.06.93/94/95,05.23.58.06.98,M. EL MEHDI BELFAKIR
COOPER TENSIFT,MARRAKECH,LOT N°382 QUARTIER INDUSTRIELSIDI GHANEM,05.24.33.87.20,0524.33.53.67,MME MOUNIA BOUKILI MKHOUKHI
C.P.M.,CASABLANCA,"108, BD ABDELLAH BEN YASSINE",05.22.30.92.91,05.22.30.99.42,M. MOHAMMED JANAH
COPHAG,AGADIR,RTE DE TIZNITIMM SEDIK B.P. 125 AIT MELLOUL,05.28.24.00.60 05.28.24.08.24,05.28.24.10.40,M. OMAR ZNIBER
COPHADIS,LAAYOUNE,"Lot Al Wahda,Avenue habbouha ,ould Laabid,Immeuble Laayoune",05.28.89.12.22,05.28.99.22.49,MME SANAA AMINE BILLAH
C.P.R.E,FES,QUARTIER SIDI BRAHIM RUE DE Fabrication N°808,05.35.73.55.55,05.35.64.17.18,M. CHARIF MOURAHI
DISTRIPHAK 2ème dépôt,KENITRA,LOTISSEMENT DCC EL HAOUZIA,05.37.32.77.66,05.37.35.63.83,MME NATALIA GORBOUNOVA
DISTRIPHAK saknia,KENITRA,"LA ZONE D’ACTIVITE SAKNIA, LOT N°104(siège social )",05.37.38.37,05.37.32.77.66,MME EL JADIDI BOUTAINA
DISMEDIC,CASABLANCA,LOT BACHKOU RUE N°7 LOT 10,05.22.81.90.20,05.22.81.50.52,MME ZINEB BENJELLOUN TOUIMI
DISPHAT,TAZA,LOT 112-113-114 B.P. 1235,05.35.21.25.49/50,05.35.21.25.51,M. MOMAMED BENSOUDA
DIPHARM,CASABLANCA,6 RUE SOCRATE IMM SOCRATE,05.22.99.95.00,05.22.23.63.47,M. RACHID AZOUAZ
DISPHANAD,SELOUANE,ZONE INDUSTRIELLE DE SELOUANE,05.36.60.90.05,05.36.60.97.06,M. DENDANE MOHAMED
Gdis,AGADIR,ZONE INDUSTRIELLE TASSILA n°176 DCHIRA,05.28.32.96.96 05.28.32.66.96,05.28.33.18.92,MME NISRINE FOUAD
