STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,TVA,nom,dci,forme,dosage,prix,statut
AMM ENREGISTREE,Non Commercialisé,ACULAR,0005,COLLYRE,FLACON DE 5 ML,PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,3630.0,2270.0,2164.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,ACUVAIL,00045,COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,12750.0,7970.0,7590.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,33800.0,22500.0,21453.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,75600.0,50200.0,47886.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,1240.0,770.0,737.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,SACHET,BOITE DE 20,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,2040.0,1280.0,1216.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,ALPHAGAN,0002,COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE),OPHTALMOLOGIE,AFRIC PHAR,8550.0,5340.0,5088.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,2280.0,1430.0,1360.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,3230.0,2020.0,1924.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,5690.0,3550.0,3386.0,0%,,,,,,
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2450.0,1530.0,1363.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3430.0,2150.0,2044.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,6180.0,3860.0,3680.0,0%,,,,,,
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,500 MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,990.0,620.0,551.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,4580.0,2860.0,2726.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,8970.0,5610.0,5340.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 7,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,2100.0,1310.0,1252.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BEMAG,500 MG / 125 MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,GN,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),VITAMINES,AFRIC PHAR,3910.0,2440.0,2325.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,1000 MG,COMPRIME ENROBE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,14300.0,8940.0,8511.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,125 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2410.0,1510.0,1435.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,250 MG / 5 ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,4290.0,2680.0,2553.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BIODROXIL,500 MG,GELULE,BOITE DE 12,GN,CEFADROXIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,7150.0,4470.0,4256.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5140.0,3210.0,3059.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,9040.0,5650.0,5383.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,250 MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3140.0,1960.0,1872.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,250 MG,SUSPENSION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2190.0,1370.0,1305.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3230.0,2020.0,1924.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BIOMOX,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5690.0,3550.0,3386.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BROMAX,"15 MG / 5 ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,2710.0,1690.0,1613.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BROMAX,"30 MG / 5 ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,AFRIC PHAR,3080.0,1930.0,1836.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,8460.0,5290.0,5036.0,0%,,,,,,
AMM ENREGISTREE,Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,12380.0,7740.0,7369.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,13920.0,8700.0,8288.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,GN,BUDESONIDE,PNEUMOLOGIE,AFRIC PHAR,23400.0,14620.0,13929.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé AO,BUDENA,64 µG / DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,GN,BUDESONIDE,ALLERGOLOGIE,AFRIC PHAR,6790.0,4240.0,4041.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 10,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,5140.0,3210.0,3060.0,0%,,,,,,
AMM ENREGISTREE,Commercialisé,CATEX,250 MG,COMPRIME,BOITE DE 20,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,9050.0,5650.0,5385.0,0%,,,,,,
