STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,TVA
AMM ENREGISTREE,Non Commercialisé,ACULAR,0005,COLLYRE,FLACON DE 5 ML,PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,3630,2270,2164,0%
AMM ENREGISTREE,Non Commercialisé,ACUVAIL,00045,COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",PP,KETOROLAC TROMETHAMINE,OPHTALMOLOGIE,AFRIC PHAR,12750,7970,7590,0%
AMM ENREGISTREE,Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,33800,22500,21453,0%
AMM ENREGISTREE,Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,GN,ISOFLURANE,ANESTHESIOLOGIE,AFRIC PHAR,75600,50200,47886,0%
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,1240,770,737,0%
AMM ENREGISTREE,Commercialisé,ALGIK,500 MG / 50 MG,SACHET,BOITE DE 20,GN,PARACETAMOL // CAFEINE,ANTALGIQUES,AFRIC PHAR,2040,1280,1216,0%
AMM ENREGISTREE,Commercialisé,ALPHAGAN,0002,COLLYRE,FLACON DE 5 ML,PP,BRIMONIDINE (TARTRATE),OPHTALMOLOGIE,AFRIC PHAR,8550,5340,5088,0%
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,2280,1430,1360,0%
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,3230,2020,1924,0%
AMM ENREGISTREE,Commercialisé AO,AMOXICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMOXICILLINE,INFECTIOLOGIE,AFRIC PHAR,5690,3550,3386,0%
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,250 MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,2450,1530,1363,0%
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 12,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,3430,2150,2044,0%
AMM ENREGISTREE,Non Commercialisé,AMPICILLINE LLORENTE,500 MG,GELULE,BOITE DE 24,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,6180,3860,3680,0%
AMM RETIREE,Retiré du Marché,AMPICILLINE LLORENTE,500 MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,GN,AMPICILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,AFRIC PHAR,990,620,551,0%
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 14,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,4580,2860,2726,0%
AMM ENREGISTREE,Commercialisé,BELMAZOL,20 MG,GELULE,BOITE DE 28,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,AFRIC PHAR,8970,5610,5340,0%
