hospital_id,medication_id,stock_quantity
1,17,236
1,6,236
1,3,776
1,14,858
1,18,829
1,5,33
1,7,743
1,11,159
1,4,723
1,15,437
1,13,355
2,9,166
2,2,124
2,6,765
2,5,462
2,8,539
2,11,612
2,3,146
2,18,804
2,1,815
2,16,534
2,10,919
3,17,113
3,11,89
3,2,88
3,5,251
3,10,647
3,16,822
3,18,583
3,13,605
3,14,571
3,4,485
3,9,803
3,8,798
3,7,438
4,14,892
4,4,127
4,13,651
4,3,206
4,8,937
4,5,943
4,15,127
4,12,558
4,7,64
4,6,92
4,16,846
4,18,497
4,11,834
4,10,389
4,9,316
5,17,879
5,3,792
5,16,582
5,2,266
5,6,572
5,10,382
5,9,750
5,15,649
5,14,866
5,7,844
5,13,344
5,12,74
5,5,782
5,18,943
5,4,59
5,8,575
5,1,354
5,11,110
6,8,248
6,5,198
6,17,503
6,3,339
6,11,535
6,2,271
6,1,932
6,7,195
6,14,378
6,10,124
6,18,792
6,4,732
6,12,563
6,16,389
6,15,949
6,13,24
7,9,299
7,10,673
7,8,809
7,12,971
7,16,638
7,7,441
7,5,316
7,15,321
7,17,711
7,18,253
7,13,613
7,3,955
7,2,523
7,14,626
7,4,18
7,11,786
8,3,78
8,16,208
8,11,692
8,13,310
8,8,198
8,4,241
8,5,535
8,10,194
8,2,805
8,1,808
8,18,972
8,15,523
8,7,543
8,17,235
8,12,356
8,6,215
9,15,312
9,17,497
9,14,363
9,5,797
9,7,987
9,11,726
9,10,551
9,13,264
9,4,851
9,1,265
9,2,154
9,12,651
9,18,917
9,8,955
9,16,572
9,9,727
10,15,476
10,16,423
10,2,400
10,14,514
10,4,82
10,11,725
10,8,568
10,5,826
10,7,780
10,12,891
11,4,544
11,1,600
11,6,368
11,8,313
11,13,633
11,10,887
11,16,295
11,7,150
11,2,412
11,5,59
11,12,113
11,3,72
11,18,200
11,11,163
12,17,327
12,9,684
12,13,388
12,11,593
12,5,896
12,12,750
12,10,735
12,16,747
12,8,769
12,14,353
13,1,474
13,7,579
13,12,467
13,3,387
13,16,203
13,14,420
13,15,195
13,13,128
13,4,575
13,5,482
14,11,62
14,8,977
14,3,472
14,7,737
14,18,146
14,2,880
14,1,963
14,15,342
14,10,576
14,13,64
14,4,294
14,9,956
14,16,824
14,14,942
15,13,738
15,7,425
15,4,339
15,10,146
15,2,413
15,14,704
15,16,404
15,15,25
15,6,884
15,18,664
15,17,123
15,8,423
16,11,89
16,12,529
16,17,121
16,16,550
16,8,321
16,3,996
16,15,420
16,4,818
16,5,588
16,6,774
16,18,285
16,7,400
16,2,33
16,1,635
17,16,777
17,17,345
17,9,461
17,1,794
17,4,310
17,8,228
17,14,328
17,12,109
17,13,66
17,10,430
17,3,707
17,5,794
17,18,117
18,5,928
18,16,426
18,8,354
18,15,477
18,10,458
18,18,610
18,17,159
18,9,544
18,13,427
18,12,388
18,7,493
18,14,929
18,1,847
19,16,645
19,6,413
19,12,766
19,10,769
19,14,701
19,5,752
19,11,26
19,1,432
19,7,541
19,4,70
19,13,307
19,2,649
20,6,499
20,13,213
20,14,342
20,18,523
20,11,785
20,9,243
20,8,527
20,16,807
20,1,40
20,5,37
20,15,561
20,12,43
20,17,297
20,2,777
20,10,964
20,4,245
20,3,829
20,7,230
21,15,52
21,5,894
21,12,426
21,7,351
21,16,829
21,13,667
21,3,939
21,8,692
21,14,802
21,2,58
21,17,791
21,18,585
21,4,201
21,9,188
22,14,876
22,7,281
22,13,701
22,1,409
22,6,398
22,18,714
22,4,154
22,9,754
22,3,497
22,17,463
22,2,648
22,16,262
