name,city,province,region,type,beds,phone,email,website,latitude,longitude,address,source,id,place_id
Mohamed V,Al Hoceima (Mun.),Al Hoceima,Tanger-Tetouan-Al Hoceima,HP,300.0,+212 55 785 111,,,,,"Route de Targuist, Al Hoceima",gov,1,1.0
C. d'oncologie d'Al Hoceima,Al Hoceima (Mun.),Al Hoceima,Tanger-Tetouan-Al Hoceima,CRO,150.0,+212 539 83 11 11,cdoncologiealhoceima@hopitaux-marocains.ma,https://hopitaux-marocains.ma/cdoncologiealhoceima,,,"Route de Tétouan, Al Hoceima, Maroc",gov,2,1.0
Imzouren,Imzouren (Mun.),Al Hoceima,Tanger-Tetouan-Al Hoceima,HPr,200.0,+212 539 58 20 00,,,,,"Route de Tétouan, Imzouren, Province de Tanger, Maroc",gov,3,2.0
Targuist,Targuist (Mun.),Al Hoceima,Tanger-Tetouan-Al Hoceima,HPr,120.0,,,,,,"Targuist, Province de Tanger-Tétouan-Al Hoceïma, Maroc",gov,4,3.0
Mohamed V,Chefchaouen (Mun.),Chefchaouen,Tanger-Tetouan-Al Hoceima,HP,400.0,,,,,,"Chefchaouen, Morocco",gov,5,4.0
Ksar El Kebir,Ksar El Kebir (Mun.),Larache,Tanger-Tetouan-Al Hoceima,HPr,250.0,+212 39 85 22 11,ksar-el-kebir@hopitaux-marocains.ma,https://hopitaux-marocains.ma/ksar-el-kebir,,,"Route de Tétouan, Ksar El Kebir, 12000",gov,6,5.0
Lalla Meriem,Larache (Mun.),Larache,Tanger-Tetouan-Al Hoceima,HP,200.0,+212 39 85 22 11,,,,,"Route de la plage, 12200 Larache, Maroc",gov,7,6.0
Abou Kacem Zahraoui,Ouezzane (Mun.),Ouezzane,Tanger-Tetouan-Al Hoceima,HP,300.0,053 986 11 11,azh@hopitaux.gov.ma,https://www.hopitalaboukacemzahraoui.ma,,,"Route de Tanger, 52000 Ouezzane",gov,8,7.0
Assilah,Assilah (Mun.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HPr,200.0,0539 48 21 21,,,,,"Route de la plage, 92030 Assilah, Maroc",gov,9,8.0
Mohammed Vi,Bni Makada (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HPr,500.0,+212 5 27 32 11 11,hospitalmohammedvi@gmail.com,https://www.hopitalmohammedvi.ma,,,"Route de Bni Makada, 14000 Bni Makada, Maroc",gov,10,9.0
Arrazi,Mghogha (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HPsyR,600.0,,,,,,"Mghogha, Arrondissement de Mghogha, Maroc",gov,11,10.0
Mohamed V,Al Madina (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HR,1000.0,+212 524 38 00 00,,,,,"Boulevard Mohammed V, Al Madina, Marrakech, Maroc",gov,12,11.0
Al Kortobi,Al Madina (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HR,250.0,0539 83 31 31,,,,,"Route de Meknès, Al Madina, Maroc",gov,13,11.0
Duc De Tovar,Al Madina (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HR,250.0,+212 5 37 63 23 45,info@ducdetovar.ma,https://www.ducdetovar.ma,,,"Route de Tanger, Al Madina, Maroc",gov,14,11.0
Centre d'oncologie,Al Madina (Arrond.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HIR,150.0,+212 5 37 83 12 34,centre.oncologie@almadina.ma,https://centre-oncologie-al-madina.ma,,,"Route de l'hôpital, Al Madina, Maroc",gov,15,11.0
Hôpital mère enfant Mohamed VI,Gueznaia (Mun.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HIR,450.0,+212 5 24 83 31 31,,,,,"Route de Gueznaïa, 26000 Guznaïa, Maroc",gov,16,12.0
Hôpital psychiatrique Mohamed VI,Gueznaia (Mun.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,CPU,200.0,+212 5 35 64 34 34,,,,,"Route de Gueznaia, 24000 Gueznaia, Maroc",gov,17,12.0
Hôpital des spécialité Mohamed VI,Gueznaia (Mun.),Tanger Assilah,Tanger-Tetouan-Al Hoceima,HIR,500.0,+212 5 43 83 11 11,,,,,"Route de Gueznaia, 26000 Gueznaia, Maroc",gov,18,12.0
