name,active_substance,form,presentation,dosage,manufacturer,price_public,price_hospital,therapeutic_class,commercialization_status,id
ACULAR,KETOROLAC TROMETHAMINE,COLLYRE,FLACON DE 5 ML,0005,AFRIC PHAR,3630.0,2270.0,OPHTALMOLOGIE,Non Commercialisé,1
ACUVAIL,KETOROLAC TROMETHAMINE,COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",00045,AFRIC PHAR,12750.0,7970.0,OPHTALMOLOGIE,Non Commercialisé,2
AERRANE,ISOFLURANE,LIQUIDE POUR INHALATION,FLACON DE 100 ML,1,AFRIC PHAR,33800.0,22500.0,ANESTHESIOLOGIE,Non Commercialisé,3
ALGIK,PARACETAMOL // CAFEINE,COMPRIME,BOITE DE 16,500 MG / 50 MG,AFRIC PHAR,1240.0,770.0,ANTALGIQUES,Commercialisé,4
ALPHAGAN,BRIMONIDINE (TARTRATE),COLLYRE,FLACON DE 5 ML,0002,AFRIC PHAR,8550.0,5340.0,OPHTALMOLOGIE,Commercialisé,5
AMOXICILLINE LLORENTE,AMOXICILLINE,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,250 MG,AFRIC PHAR,2280.0,1430.0,INFECTIOLOGIE,Commercialisé AO,6
AMPICILLINE LLORENTE,AMPICILLINE,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,250 MG,AFRIC PHAR,2450.0,1530.0,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,Retiré du Marché,7
BELMAZOL,OMEPRAZOLE,GELULE,BOITE DE 14,20 MG,AFRIC PHAR,4580.0,2860.0,GASTRO-ENTEROLOGIE,Commercialisé,8
BEMAG,MAGNESIUM (GLYCEROPHOSPHATE) // PYRIDOXINE (CHLORHYDRATE),SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,500 MG / 125 MG,AFRIC PHAR,3910.0,2440.0,VITAMINES,Non Commercialisé,9
BIODROXIL,CEFADROXIL,COMPRIME ENROBE,BOITE DE 12,1000 MG,AFRIC PHAR,14300.0,8940.0,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,Non Commercialisé,10
BIOMOX,AMOXICILLINE,COMPRIME DISPERSIBLE,BOITE DE 12,1 G,AFRIC PHAR,5140.0,3210.0,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,Commercialisé AO,11
BROMAX,AMBROXOL,SOLUTION BUVABLE,FLACON DE 200 ML,"15 MG / 5 ML (0,30%)",AFRIC PHAR,2710.0,1690.0,PNEUMOLOGIE,Commercialisé,12
BRONCOTEC,FORMOTEROL (FUMARATE),GELULE POUR INHALATION,BOITE DE 20,12 µG,ATLAS PHARM,8460.0,5290.0,PNEUMOLOGIE,Non Commercialisé,13
BUDENA,BUDESONIDE,AEROSOL NASAL,FLACON DE 200 DOSES,100 MCG,AFRIC PHAR,13920.0,8700.0,ALLERGOLOGIE,Commercialisé,14
CATEX,CIPROFLOXACINE (CHLORHYDRATE),COMPRIME,BOITE DE 10,250 MG,AFRIC PHAR,5140.0,3210.0,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,Commercialisé,15
CELLUVISC,CARMELLOSE (SODIQUE),COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,"4 MG / 0,4 ML",AFRIC PHAR,4150.0,2590.0,OPHTALMOLOGIE,Non Commercialisé,16
CETIRAL,CETIRIZINE (DICHLORHYDRATE),SOLUTION BUVABLE,FLACON DE 60 ML,1 MG / ML,AFRIC PHAR,2560.0,1600.0,ALLERGOLOGIE,Commercialisé,17
CHEMOSET,ONDANSETRON (CHLOHYDRATE),SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,2 MG / ML,AFRIC PHAR,26900.0,17930.0,CANCEROLOGIE-HEMATOLOGIE,Commercialisé AO,18
