name,category,activity,address,city,phone,responsible_pharmacist,id
2B MEDICAL,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",N22RUE ABOU BAKER IBN ZOHR QUARTIER DES HOPITAUX CASABLANCA,,,,1
2H BUSINESS SARL,Dispositif Médical,"Importation, Distribution, DM non steriles",RUE EL BARAKA MAGASIN N 11 CYM RABAT,,,,2
3D MEDICA,Dispositif Médical,"Importation, Distribution, DM steriles DM non steriles",84 BOULEVARD MOULAY DRISS PREMIER GALERIE LA RENAISSANCE MAGASIEN 34 CASABLANCA,,,,3
3GCOM SARL,Dispositif Médical,"Exportation, Maintenance,",11.RUE ANISSONE SECTEURE 22 HAY RIYAD RABAT,,,,4
3M MAROC,Dispositif Médical,"Importation, DM steriles",IMMEUBLE 4 ZENITH LOTISSEMENT ATTAOUFIK SIDI MAAROUF CASABLANCA,,,,5
3MEDICAL SARL,Dispositif Médical,"Importation, Exportation, Distribution, Maintenance, DM steriles",128 BOULEVARD LAHCEN OUIDDER ETAGE 2 APPARTEMENT A8 IMMEUBLE AL WAHDA CASABLANCA,,,,6
5G DENTAL SARL,Dispositif Médical,,HAY JAMIL RUE 5 N 26 SIDI MOUMEN LAKDIM,,,,7
AABOUD NEGOCE SARL,Dispositif Médical,"Importation, DM steriles",RUE LALLA CHAFIA N 9 9 BIS TANGER,,,,8
ABC DENTAIRE SARL,Dispositif Médical,"Importation, Distribution, DM non steriles",HAY MOULAY ABDELLAH RUE 246 N 27/29 CASABLANCA,,,,9
ABLENS,Dispositif Médical,"Fabrication Importation, Distribution, DM steriles",457 AVENUE HASSAN 2 RESIDENCE MERYEM MAGASIEN 10 RABAT,,,,10
ABMED SARL,Dispositif Médical,"Importation, Distribution, Maintenance, DM steriles DM non steriles",4RUE ABOU FARIS MARINI IMMEUBLE B APPARTEMENT 2 RABAT,,,,11
ACADEMY SARL AU,Dispositif Médical,"Exportation, DM non steriles",3 RUE TABIT BNOU KORRA QUARTIER DES HOPITEUAX CASABLANCA,,,,12
ACCEMEDIC SARL,Dispositif Médical,"Importation, Exportation, Distribution, DM steriles DM non steriles",223.QUARTIER ECONOMIQUE TIFLET.,,,,13
ACCENTIS MEDICAL,Dispositif Médical,"Importation, DM steriles",ANGEL BOULEVERD DES FAR ET RUE ALLAL BEN ABDELLAH IMMEUBLE HAJAR APPARTEMANT 8 ETAGE 3 MOHAMMADIA,,,,14
ACROMEDIC SARL,Dispositif Médical,"Importation, Exportation, Distribution, DM steriles DM non steriles",HAMZA 2 FROUGA N 9 M`HAMID MARRAKECH,,,,15
