nom,ville,type,lits,services,equipements.examens radiologiques,equipements.interventions chirurgicales,personnel.total_en_2006,personnel.total_en_2001,personnel.vacataire_en_2006,personnel.vacataire_en_2001,equipements.Auto-analyseur COBAS c311,equipements.Auto-analyseur COBAS e411,equipements.Chromatographie liquide à haute pression (HPLC) à barrette diodes,equipements.Automate COBAS C311,equipements.Dosage radio-immunologique (RIA),equipements.IRM,equipements.scanner,equipements.radiologie conventionnelle,equipements.échographie,equipements.radiologie interventionnelle,equipements.blocs opératoires,equipements.laboratoires d'analyses biologiques,equipements.unités de réanimation,personnel.chirurgiens,personnel.anesthésistes,personnel.radiologues,personnel.médecins généralistes
Centres Hospitaliers Universitaires,,CHU,,[],,,,,,,,,,,,,,,,,,,,,,,
hôpitaux publics,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpitaux Locaux,,Réseau de soins de santé de base,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de Santé Publique,,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
cabenets privés,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
"Hôpitaux Préfectoraux, Provinciaux et Régionaux",,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Centres hospitaliers universitaires (CHU),,Public,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques mutualistes,,Mutualiste,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques des Offices,,Office,,[],,,,,,,,,,,,,,,,,,,,,,,
Polycliniques de la Caisse Nationale de Sécurité Sociale (CNSS),,CNSS,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques privées,,Privé,,[],,,,,,,,,,,,,,,,,,,,,,,
Cliniques des ONG,,ONG,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Mohamed V,Casablanca,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital de Ben M’Sik,Ben M’Sik,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Sidi Mohamed Ben Abdellah,Essaouira,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
Hôpital Al Idrissi,Kénitra,Hôpital public,,[],,,,,,,,,,,,,,,,,,,,,,,
