0,1,2
,,
Répartition des hôpitaux par région,Répartition des hôpitaux par région,Répartition des hôpitaux par région
,,
,,
Régions,Provinces&Préfectures,Nom des hôpitaux
Oued Eddahab-Lagouira,Aousserd,
,Oued Eddahab,Hassan II
,Total région,1
Laâyoune-Boujdour-Sakia Lhamra,Boujdour,Boujdour
,Laayoune,My Hassan Ben El Mehdi
,,Hassan II
,Total région,3
Guelmim-Smara,Assa-Zag,Assa
,Es-semara,Es-smara
,Guelmim,Guelmim
,,Bouizakaren
,Tan-Tan,Hassan II
,Tata,Tata
,Total région,6
Souss-Massa-Darâa,Agadir-Ida Outanane,Hassan II
,,Anza (2)
,Chtouka ait baha,Mokhtar Soussi
,Inezgane-Ait Melloul,Inezgane
,Ouarzazate,Sidi Hssain Bencer
,,Bougafer
,,Tinghir
,,Kelaat Mgouna
,Taroudant,Taroudant (Mokhtar Es-soussi)
,,Oulad Teima
,Tiznit,Hassan 1er
,,Sidi Ifni
,,Houmman El Fatouaki
,Zagora,Zagora
,,Zagora C67
,Total région,12
El Gharb-Chrarda-Benhssine,Kenitra,Al Idrissi
,,Zoubir Skirej (Souk Larbaa)
,,Sidi Slimane
,Sidi Kacem,Sidi Kacem
,,Ouazzane
,Total région,5
Chaouia-Ouardigha,Ben Slimane,Ben Slimane
,,Ben Slimane
,Khouribga,Khouribga
,,Oued.Zem
,,Bejaad
,Settat,Hassan II
,,Ben Ahmed ( Phtisio )
,,Errazi
,,Psychiatrie
,,Ben Ahmed
,Total région,9
Marrakech-Tensift-El Haouz,Al Haouz,Al Haouz
,Chichaoua,Mohamed VI
,El kelaa Sraghna,Assalama
,,Benguerir
,,Tamallalt
,Essaouira,SidiMed Ben Abdellah
,Marrakech,Ibn Tofeil
,,El Razi
,,Ibn Nafis
,,Ibn Zohr
,,El Antaki
,,Sidi Youssef Ben Ali
,Total région,10
Oriental,Berkane,Edderak
,,Saidia
,Figuig,Hassan II
,Jrada,Jrada
,Nador,Hassani
,,El Aroui
,Oujda-Angad,Al Farabi
,,Mzouaria
,,Pschiatrie
,Taourirt,Taourirt
,,El Aioun S. Mellouk
,Total région,8
Grand Casablanca,Ain Chock,Centre de Léprologie
,,Salam
,Ain Sbaa-Hay Mohammadi,Mohamed V
,Al fida-Derb Sultan,Med Bouafi
,Ben M'sik,
,Casablanca-Anfa,My Youssef
,,Ibn Rochd
,,Hôpital d'enfants
,,20 Aout 1953
,Hay Hassani,El Hassani
,Machouar Casablanca,
,Mediouna,Tit Mellil
,,Mediouna
,Mohammedia,My Abdellah
,My Rachid Sidi Othmane,Sidi Othmane
,Nouaceur,Prince My Hassan (Dar Bouazza)
,Sidi Bernoussi,Al Mansour
,Total région,14
Rabat-Salé-Zemmour-Zaer,Khemisset,Khemisset
,,Roummani
,,Tiflet
,Rabat,Ibn Sina
,,My Youssef
,,Hôpital des Spécialités
,,Maternité Souissi
,,Hôpital d'enfants
,,Maternité Orangers
,,Hôpital de Rabat
,,Med Ben Abdellah
,Salé,Moulay Abdellah
,,Arrazi
,,El Ayachi
,Skhirat-Temara,Sidi Lahcen
,Total région,15
Doukkala-Abda,El Jadida,Mohamed V
,,Sidi Layachi
,,Sidi Bennour
,,Azemmour
,,Khemis Zzmamra
,Safi,Mohamed V
,,El Youssoufia
,Total région,5
Tadla-Azilal,Azilal,Haut Atlas Central
,,Demnat
,Beni Mellal,Beni Mellal
,,Moulay Ismail
,,Fquih Ben Salah
,,Souk sebt Od Nemma
,Total région,4
Meknes-Tafilalt,El Hajeb,El Hajeb
,Errachidia,My Ali Cherif
,,Houmane El Fatouaki
,,Arfoud
,,20 Aout (Goulmima)
,Ifrane,20 Aout (Azrou)
,,Ahadaf
,Khenifra,Khenifra
,,Midelt
,,M'rirt
,Meknes,Sidi Said
,,Mohamed V
,,Pagnon
,,Moulay Ismail
,Total région,12
Fes-Boulemane,Boulemane,Marche Verte
,,Outate El Haj
,Fes,Al Ghassani
,,Omar Drissi
,,Ibn Al Hassan
,,Ibn Al Baitar
,,Ibn Al Khatib
,My Yaacoub,
,Sefrou,Mohamed V
,Total région,8
Taza-Al Hoceima-Taounate,Al Hoceima,Mohamed V
,,Targuist
,Taounate,Ghafsai
,,Taounate
,Taza,Ibn Baja
,,Ibn Rochd
,,Guercif
,Total région,6
Tanger-Tetouan,Chefchaouen,Mohamed V
,Fahs-Anjra,
,Larache,Lalla Meriem
,,Ksar El Kebir
,Tanger-Assilah,Mohamed V
,,Al Kortobi
,,Duc de Tovar
,,Assilah
,,Beni Makada
,,Bni Makada
,Tetouan,Hôpital.Civil
,,Ben Karrich
,,Psychiatrie
,,M'diq
,Total région,12
Total National,,130
,,
,,
,,
Abréviations,,
,,
* H.G.R : Hôpital Général Régional,,
* H.S.R : Hôpital Spécialisé Régional,* H.S.R : Hôpital Spécialisé Régional,
* H.G.P : Hôpital Général Provincial,* H.G.P : Hôpital Général Provincial,
* H.S.P : Hôpial Spécialisé Provincial,* H.S.P : Hôpial Spécialisé Provincial,
* HL : Hôpital Local,,
* E.P : Etablissement Public,,
(2) HL construite par une association saoudite (non encore mise en service),(2) HL construite par une association saoudite (non encore mise en service),(2) HL construite par une association saoudite (non encore mise en service)
